Respondent id number,Region of interview,Rs religious preference,Was r's work part-time or full-time?,Sexual orientation,Rs income in constant $,Hispanic specified,Race of household,Ballot used for interview,R's socioeconomic index (2010),Rs family income when 16 yrs old,Race of respondent,Respondents sex,Number of hours worked last week,R self-emp or works for somebody,Marital status,Number of children,Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Total family income
545,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot c,91.1,Above average,Black,Female,35,Self-employed,Never married,0,27,20,16,20,Not applicable,$20000 to 22499
546,Pacific,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,63.7,Average,White,Female,Not applicable,Someone else,Widowed,2,57,16,16,12,Not applicable,$12500 to 14999
547,Pacific,Protestant,Full-time,Bisexual,21060,Not hispanic,Black,Ballot c,64.2,Below average,Black,Female,40,Someone else,Never married,3,32,13,Not applicable,10,Not applicable,$60000 to 74999
548,Pacific,Catholic,Full-time,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot a,32,Average,White,Male,50,Self-employed,Never married,0,24,12,9,9,Not applicable,$130000 to $149999
549,Pacific,Catholic,Not applicable,Not applicable,0,Argentinian,White,Ballot b,21.8,Far below average,White,Female,Not applicable,Someone else,Separated,2,81,6,0,0,Not applicable,Under $1 000
550,Pacific,None,Part-time,Bisexual,0,Not hispanic,White,Ballot c,26.1,Average,Other,Female,28,Someone else,Never married,0,19,12,16,16,Not applicable,$25000 to 29999
551,Pacific,Catholic,Full-time,Heterosexual or straight,12870,"Mexican, mexican american, chicano/a",White,Ballot b,25.7,Average,Other,Female,30,Someone else,Divorced,3,44,12,6,8,Not applicable,$25000 to 29999
552,Pacific,None,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot c,31.2,Below average,White,Male,Not applicable,Someone else,Never married,2,41,7,Don't know,Don't know,Not applicable,$1 000 to 2 999
553,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot b,34.7,Far below average,Black,Male,Not applicable,Someone else,Married,2,67,12,Not applicable,3,12,$40000 to 49999
554,Pacific,None,Full-time,Heterosexual or straight,2106,Not hispanic,"Other, mixed",Ballot b,85.2,Average,Black,Male,36,Someone else,Never married,0,36,14,14,16,Not applicable,$60000 to 74999
555,Pacific,Hinduism,Full-time,Heterosexual or straight,65520,Not hispanic,"Asiatic, oriental",Ballot c,87.9,Average,Other,Male,40,Someone else,Never married,0,33,16,15,15,Not applicable,$130000 to $149999
556,Pacific,Protestant,Full-time,Not applicable,31590,"Mexican, mexican american, chicano/a",White,Ballot a,61.2,Average,Other,Male,53,Someone else,Married,1,48,10,8,14,14,$60000 to 74999
557,Pacific,Catholic,Full-time,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot a,38.3,Far below average,Other,Female,40,Someone else,Separated,1,47,12,Not applicable,8,Not applicable,$110000 to $129999
558,Pacific,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,45.3,Average,White,Female,Not applicable,Someone else,Widowed,2,72,15,12,14,Not applicable,$90000 to $109999
559,Pacific,None,Part-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,76.7,Above average,White,Female,30,Someone else,Married,0,60,19,12,14,13,$130000 to $149999
560,Pacific,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot b,39.7,Don't know,White,Female,Not applicable,Someone else,Widowed,2,89 or older,8,Don't know,Don't know,Not applicable,Don't know
561,Pacific,Catholic,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot c,-1,Far below average,Other,Female,Not applicable,Not applicable,Married,4,45,6,6,6,3,$7 000 to 7 999
562,Pacific,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,82.5,Below average,White,Female,Not applicable,Someone else,Widowed,2,70,20,15,14,Not applicable,Refused
563,Pacific,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,51.9,Average,Other,Female,Not applicable,Someone else,Married,4,79,12,12,5,12,Refused
564,W. sou. central,Protestant,Full-time,Not applicable,17550,"Mexican, mexican american, chicano/a",White,Ballot c,43,Above average,White,Female,42,Someone else,Never married,4,37,14,Not applicable,14,Not applicable,$35000 to 39999
565,W. sou. central,Protestant,Not applicable,Bisexual,0,Not hispanic,White,Ballot c,80.9,Above average,White,Female,Not applicable,Someone else,Married,2,39,17,18,16,18,$60000 to 74999
566,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,38.8,Average,White,Female,Not applicable,Someone else,Married,6,57,12,12,13,12,$40000 to 49999
567,W. sou. central,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,White,Ballot c,38.8,Average,Black,Female,40,Someone else,Separated,2,55,15,Don't know,14,Not applicable,$60000 to 74999
568,W. sou. central,None,Full-time,Not applicable,9945,Not hispanic,"Other, mixed",Ballot a,18.6,Above average,White,Male,50,Someone else,Divorced,1,28,14,16,Not applicable,Not applicable,$50000 to 59999
569,W. sou. central,None,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,32,Average,White,Male,50,Someone else,Divorced,0,58,13,12,11,Not applicable,$60000 to 74999
570,W. sou. central,Protestant,Part-time,Heterosexual or straight,5265,Not hispanic,White,Ballot c,19.6,Average,White,Female,25,Someone else,Married,4,64,9,Don't know,Don't know,11,$40000 to 49999
571,W. sou. central,Protestant,Full-time,Heterosexual or straight,7605,Not hispanic,White,Ballot b,39.7,Below average,White,Male,35,Someone else,Divorced,0,32,16,18,16,Not applicable,$40000 to 49999
572,W. sou. central,Protestant,Not applicable,Not applicable,12870,Not hispanic,White,Ballot a,42.9,Below average,White,Male,Not applicable,Someone else,Married,1,63,16,16,16,16,$90000 to $109999
573,W. sou. central,Protestant,Full-time,Not applicable,25740,Not hispanic,Black,Ballot a,76.3,Average,Black,Female,40,Someone else,Divorced,2,47,16,12,16,Not applicable,$75000 to $89999
574,W. sou. central,Protestant,Full-time,Heterosexual or straight,3042,Not hispanic,Black,Ballot b,32,Above average,Black,Female,50,Self-employed,Separated,3,40,12,12,14,Not applicable,$6 000 to 6 999
575,W. sou. central,Catholic,Full-time,Heterosexual or straight,0,Not hispanic,Black,Ballot c,42.7,Far above average,White,Male,Not applicable,Someone else,Separated,2,38,14,12,14,Not applicable,$90000 to $109999
576,W. sou. central,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,41.1,Below average,White,Female,Not applicable,Someone else,Married,2,63,16,Not applicable,8,15,$90000 to $109999
577,W. sou. central,Inter-nondenominational,Part-time,Not applicable,0,Not hispanic,"Other, mixed",Ballot c,76.3,No answer,Other,Female,Not applicable,Someone else,Married,1,49,18,16,16,16,$150000 to $169999
578,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot c,18.8,Below average,White,Female,Not applicable,Someone else,Widowed,3,74,12,16,12,Not applicable,$15000 to 17499
579,W. sou. central,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot b,24.2,Below average,Black,Female,Not applicable,Someone else,Widowed,6,66,12,4,4,Not applicable,$22500 to 24999
580,W. sou. central,None,Part-time,Not applicable,25740,Not hispanic,White,Ballot a,25.2,Above average,White,Male,7,Self-employed,Divorced,2,34,16,20,18,Not applicable,$60000 to 74999
581,W. sou. central,Protestant,Part-time,Not applicable,12870,Not hispanic,White,Ballot c,35.4,Average,White,Male,25,Someone else,Married,0,42,12,11,12,12,$75000 to $89999
582,W. sou. central,Protestant,Full-time,Not applicable,5265,Not hispanic,Black,Ballot b,25.1,Below average,White,Male,Not applicable,Someone else,Widowed,2,66,8,Not applicable,Don't know,Not applicable,$60000 to 74999
583,W. sou. central,Protestant,Full-time,Not applicable,15210,Not hispanic,Black,Ballot a,27.6,Far below average,Black,Female,24,Someone else,Widowed,3,46,12,Not applicable,12,Not applicable,$35000 to 39999
584,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot c,58.2,Above average,Black,Male,Not applicable,Someone else,Divorced,6,51,14,12,12,Not applicable,Under $1 000
585,W. sou. central,Other,Part-time,Heterosexual or straight,0,"Mexican, mexican american, chicano/a","Other, mixed",Ballot b,-1,Average,White,Female,Not applicable,Not applicable,Never married,0,20,12,11,7,Not applicable,$75000 to $89999
586,W. sou. central,Protestant,Not applicable,Not applicable,2574,Not hispanic,White,Ballot c,19.6,Average,White,Female,Not applicable,Self-employed,Never married,0,54,7,12,12,Not applicable,$40000 to 49999
587,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot b,28.4,Above average,Black,Male,Not applicable,Self-employed,Never married,1,55,12,12,12,Not applicable,$3 000 to 3 999
588,W. sou. central,Protestant,Full-time,Not applicable,12870,Not hispanic,Black,Ballot b,28.7,Average,Black,Male,No answer,Someone else,Never married,2,58,14,14,7,Not applicable,$35000 to 39999
589,W. sou. central,Protestant,Full-time,Not applicable,0,Not hispanic,White,Ballot a,-1,Average,White,Male,Not applicable,Someone else,Married,0,53,12,Don't know,12,12,$75000 to $89999
590,W. sou. central,Catholic,Full-time,Not applicable,46800,Not hispanic,White,Ballot a,70.5,Above average,White,Male,40,Someone else,Divorced,1,36,17,16,16,Not applicable,$90000 to $109999
591,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,38.8,Below average,White,Male,Not applicable,Someone else,Widowed,3,76,15,6,6,Not applicable,$8 000 to 9 999
592,W. sou. central,Christian,Part-time,Heterosexual or straight,7605,Not hispanic,White,Ballot c,39.9,Average,White,Female,20,Someone else,Married,3,33,14,Not applicable,16,14,$75000 to $89999
593,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,63.7,Average,White,Female,Not applicable,Someone else,Divorced,3,69,20,Not applicable,Not applicable,Not applicable,$25000 to 29999
594,W. sou. central,Protestant,Full-time,Not applicable,56160,Not hispanic,White,Ballot a,59.1,Above average,White,Male,70,Someone else,Never married,0,32,13,12,14,Not applicable,$150000 to $169999
595,W. sou. central,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,53,Far above average,White,Female,Not applicable,Someone else,Married,2,48,13,16,8,10,$75000 to $89999
596,W. sou. central,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,75.5,Far below average,White,Female,Not applicable,Someone else,Widowed,4,72,20,Not applicable,15,Not applicable,$75000 to $89999
597,W. sou. central,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Don't know,Ballot b,77.4,Below average,White,Female,Not applicable,Someone else,Widowed,1,66,14,8,12,Not applicable,$60000 to 74999
598,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,38.8,Average,White,Female,Not applicable,Someone else,Widowed,1,85,12,Don't know,Don't know,Not applicable,Refused
599,W. sou. central,Protestant,Part-time,Not applicable,25740,Not hispanic,White,Ballot a,43,Average,White,Female,Not applicable,Self-employed,Divorced,2,68,13,12,15,Not applicable,$50000 to 59999
600,W. sou. central,Protestant,Full-time,Heterosexual or straight,74880,Not hispanic,White,Ballot b,71.8,Average,White,Male,45,Someone else,Married,2,53,20,12,20,16,$150000 to $169999
601,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot c,69.3,Below average,White,Female,Not applicable,Someone else,Widowed,3,75,14,10,14,Not applicable,Refused
602,W. sou. central,Protestant,Full-time,Not applicable,936,Not hispanic,White,Ballot b,24.6,Below average,White,Female,40,Self-employed,Never married,1,25,12,Not applicable,14,Not applicable,$60000 to 74999
603,W. sou. central,Catholic,Full-time,Not applicable,65520,Not hispanic,White,Ballot a,26.5,Below average,White,Male,40,Self-employed,Married,3,52,12,12,12,13,$130000 to $149999
604,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot c,24.2,Above average,White,Female,Not applicable,Someone else,Widowed,4,80,12,10,12,Not applicable,$22500 to 24999
605,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot c,79.4,Below average,White,Male,Not applicable,Someone else,Married,2,67,13,9,12,12,$3 000 to 3 999
606,W. sou. central,None,Part-time,Not applicable,2574,Not hispanic,White,Ballot b,21.8,Average,White,Female,16,Someone else,Never married,1,21,13,12,13,Not applicable,$7 000 to 7 999
607,W. sou. central,None,Full-time,Not applicable,11115,Not hispanic,Black,Ballot a,22.1,Average,Black,Female,30,Someone else,Never married,4,31,13,11,8,Not applicable,$50000 to 59999
608,W. sou. central,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,58.2,Above average,White,Male,Not applicable,Someone else,Divorced,2,69,14,14,12,Not applicable,$30000 to 34999
609,W. sou. central,Protestant,Full-time,Not applicable,25740,Not hispanic,Black,Ballot a,80.9,Below average,Black,Female,40,Someone else,Married,2,47,20,13,12,13,$170000 or over
610,W. sou. central,Protestant,Part-time,Not applicable,56160,Not hispanic,Black,Ballot b,57.8,Far below average,Black,Male,20,Self-employed,Never married,0,34,16,12,Not applicable,Not applicable,$110000 to $129999
611,W. sou. central,Protestant,Not applicable,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot a,-1,Below average,White,Female,Not applicable,Not applicable,Married,4,33,12,No answer,12,12,Don't know
612,W. sou. central,Protestant,Not applicable,Not applicable,5265,Not hispanic,Black,Ballot a,20.1,Average,Black,Female,26,Someone else,Separated,1,53,11,6,Don't know,Not applicable,$10000 to 12499
613,W. sou. central,Protestant,Part-time,Heterosexual or straight,3042,Not hispanic,"Other, mixed",Ballot c,33.3,Below average,Black,Female,27,Someone else,Never married,1,47,12,Not applicable,14,Not applicable,$6 000 to 6 999
614,W. sou. central,Protestant,Full-time,Heterosexual or straight,38610,Not hispanic,White,Ballot c,45.4,Above average,White,Male,Not applicable,Someone else,Married,1,57,12,12,12,12,$90000 to $109999
615,W. sou. central,Protestant,Full-time,Not applicable,164382.0376,Not hispanic,White,Ballot c,75.5,Average,White,Female,1,Someone else,Married,0,58,18,18,18,18,$170000 or over
616,W. sou. central,Protestant,Part-time,Not applicable,0,Not hispanic,White,Ballot a,35.8,Far below average,White,Female,32,Self-employed,Married,3,55,14,Not applicable,14,12,$130000 to $149999
617,W. sou. central,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot b,37.6,Below average,White,Female,Not applicable,Someone else,Married,1,65,12,Not applicable,9,12,$75000 to $89999
618,W. sou. central,Protestant,Full-time,Not applicable,46800,Not hispanic,Black,Ballot a,75.5,Average,Black,Female,55,Someone else,Divorced,0,62,20,12,12,Not applicable,$90000 to $109999
619,W. sou. central,Catholic,Part-time,Heterosexual or straight,6435,"Mexican, mexican american, chicano/a",White,Ballot c,28.6,Below average,White,Female,30,Someone else,Married,1,26,14,8,12,14,$50000 to 59999
620,W. sou. central,Catholic,Full-time,Heterosexual or straight,25740,"Mexican, mexican american, chicano/a",White,Ballot b,66.1,Far below average,White,Female,Not applicable,Someone else,Married,1,31,16,Not applicable,7,12,$90000 to $109999
621,W. sou. central,Protestant,Part-time,Heterosexual or straight,0,Central american,White,Ballot b,69.3,No answer,Other,Male,No answer,Someone else,Married,Dk na,44,12,12,12,12,Refused
622,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot b,21.8,Below average,Black,Female,Not applicable,Someone else,Married,1,68,12,Not applicable,11,0,Don't know
623,W. sou. central,Jewish,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,29.6,Far below average,White,Female,Not applicable,Someone else,Married,1,73,10,Not applicable,2,14,Don't know
624,W. sou. central,Protestant,Full-time,Not applicable,11115,Not hispanic,Black,Ballot c,43.9,Below average,Black,Female,40,Someone else,Widowed,2,57,12,Don't know,Don't know,Not applicable,$30000 to 34999
625,South atlantic,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,79.9,Average,White,Female,24,Someone else,Married,1,57,16,8,8,12,$60000 to 74999
626,South atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,61.4,Average,White,Female,Not applicable,Someone else,Married,1,48,16,18,16,14,$110000 to $129999
627,South atlantic,Catholic,Part-time,Not applicable,3510,Not hispanic,White,Ballot a,20.1,Average,White,Female,26,Self-employed,Married,3,58,16,13,10,12,$130000 to $149999
628,Middle atlantic,Catholic,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,45,Average,White,Female,15,Self-employed,Married,4,36,16,16,16,19,$170000 or over
629,Middle atlantic,Jewish,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,82.5,Above average,White,Female,Not applicable,Someone else,Divorced,2,79,20,9,9,Not applicable,$30000 to 34999
630,Middle atlantic,Other,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,78.3,Average,White,Male,No answer,Self-employed,Married,1,55,16,20,14,12,Refused
631,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,"Asiatic, oriental",Ballot b,-1,Don't know,Other,Male,Not applicable,Not applicable,Never married,0,19,11,16,14,Not applicable,Don't know
632,Middle atlantic,Protestant,Part-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,41,Below average,White,Female,35,Self-employed,Married,3,54,16,Not applicable,12,14,$150000 to $169999
633,Middle atlantic,Catholic,Full-time,Heterosexual or straight,164382.0376,Not hispanic,White,Ballot b,68,Above average,White,Male,60,Someone else,Married,2,60,16,16,12,12,$170000 or over
634,Middle atlantic,Christian,Part-time,Not applicable,25740,Not hispanic,"Asiatic, oriental",Ballot a,38.3,Average,Other,Female,8,Self-employed,Married,2,52,14,12,12,18,$170000 or over
635,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,79.9,Average,White,Female,Not applicable,Someone else,Widowed,Eight or more,80,14,Don't know,4,Not applicable,$40000 to 49999
636,Middle atlantic,Catholic,Full-time,Heterosexual or straight,74880,Not hispanic,White,Ballot b,79.3,Below average,White,Male,40,Self-employed,Married,1,58,16,12,12,13,$170000 or over
637,Middle atlantic,Protestant,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,20.8,Average,White,Female,41,Someone else,Married,4,69,12,Don't know,Don't know,13,$75000 to $89999
638,Middle atlantic,None,Full-time,Not applicable,38610,Not hispanic,White,Ballot a,88.3,Average,White,Female,45,Someone else,Married,3,49,17,14,12,20,$150000 to $169999
639,Middle atlantic,Catholic,Part-time,Heterosexual or straight,6435,Not hispanic,White,Ballot c,39.7,Below average,White,Male,16,Someone else,Married,2,75,16,Not applicable,12,18,$90000 to $109999
640,Middle atlantic,Catholic,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot b,54.6,Below average,White,Female,20,Someone else,Married,2,67,12,12,12,17,$130000 to $149999
641,Middle atlantic,None,Part-time,Heterosexual or straight,8775,Not hispanic,White,Ballot c,28.6,Average,White,Female,26,Someone else,Married,3,51,18,16,13,16,$150000 to $169999
642,Middle atlantic,Catholic,Part-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,60.5,Below average,White,Female,30,Someone else,Married,2,57,16,12,12,17,$130000 to $149999
643,Middle atlantic,None,Full-time,Not applicable,46800,Not hispanic,White,Ballot a,80.7,Average,White,Male,45,Someone else,Married,1,34,16,Not applicable,12,12,$130000 to $149999
644,Middle atlantic,Hinduism,Not applicable,Not applicable,0,Not hispanic,"Other, mixed",Ballot a,-1,Below average,Other,Female,Not applicable,Not applicable,Married,2,29,16,12,7,16,Don't know
645,Middle atlantic,None,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,38.8,Below average,Other,Female,Not applicable,Someone else,Never married,0,44,9,Not applicable,Don't know,Not applicable,$7 000 to 7 999
646,Middle atlantic,Catholic,Not applicable,Heterosexual or straight,0,"Other, not specified",White,Ballot b,37.6,Average,White,Female,Not applicable,Someone else,Never married,0,49,12,12,12,Not applicable,$8 000 to 9 999
647,Middle atlantic,Protestant,Full-time,Heterosexual or straight,38610,Not hispanic,"Asiatic, oriental",Ballot b,88,Far below average,Other,Female,40,Someone else,Married,3,52,19,14,14,12,$130000 to $149999
648,Middle atlantic,Protestant,Full-time,Not applicable,164382.0376,Not hispanic,"Asiatic, oriental",Ballot a,92.8,Average,Other,Male,60,Self-employed,Married,2,54,19,16,14,16,$170000 or over
649,Middle atlantic,Protestant,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,41.1,Average,White,Female,Not applicable,Someone else,Married,4,48,15,12,12,16,$75000 to $89999
650,Middle atlantic,Protestant,Full-time,Heterosexual or straight,46800,Not hispanic,White,Ballot b,68.6,Far below average,Other,Female,45,Someone else,Married,1,34,16,16,13,16,$170000 or over
651,Middle atlantic,Protestant,Part-time,Not applicable,0,Not hispanic,"Other, mixed",Ballot b,21.8,Average,Black,Female,40,Someone else,Married,2,44,16,Not applicable,16,11,Refused
652,Middle atlantic,None,Part-time,Not applicable,3510,Not hispanic,White,Ballot a,64.5,Above average,White,Male,50,Someone else,Never married,0,33,19,19,14,Not applicable,$7 000 to 7 999
653,Middle atlantic,None,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,37.6,Above average,White,Female,Not applicable,Someone else,Never married,0,31,13,15,16,Not applicable,Don't know
654,Middle atlantic,Protestant,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,92.8,Average,White,Female,40,Someone else,Never married,0,30,20,16,18,Not applicable,$50000 to 59999
655,Middle atlantic,Other,Not applicable,Not applicable,0,Not hispanic,Black,Ballot b,-1,Far below average,Black,Female,Not applicable,Not applicable,Divorced,3,77,11,Not applicable,7,Not applicable,$10000 to 12499
656,Middle atlantic,Other,Not applicable,Not applicable,0,Not hispanic,Black,Ballot a,20.1,Don't know,Other,Female,Not applicable,Self-employed,Widowed,0,78,13,Not applicable,0,Not applicable,$12500 to 14999
657,Middle atlantic,None,Not applicable,"Gay, lesbian, or homosexual",0,Not hispanic,Black,Ballot c,38.8,Below average,Black,Male,16,Someone else,Never married,0,47,12,Not applicable,13,Not applicable,$8 000 to 9 999
658,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot c,13.6,Average,Black,Male,Not applicable,Someone else,Never married,3,58,12,Not applicable,Don't know,Not applicable,$10000 to 12499
659,Middle atlantic,Jewish,Full-time,Heterosexual or straight,7605,Not hispanic,Black,Ballot b,46,Below average,Black,Male,60,Self-employed,Married,3,52,15,8,12,14,$22500 to 24999
660,Middle atlantic,Protestant,Full-time,Not applicable,15210,Not hispanic,Black,Ballot a,35.8,Below average,Black,Female,40,Someone else,Separated,3,49,16,Not applicable,16,Not applicable,$90000 to $109999
661,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot c,75.5,Far below average,Black,Female,Not applicable,Someone else,Widowed,6,83,12,3,5,Not applicable,Don't know
662,Middle atlantic,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,-1,Average,White,Male,Not applicable,Not applicable,Never married,0,23,13,12,16,Not applicable,$3 000 to 3 999
663,Middle atlantic,Buddhism,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,80.7,Average,White,Female,20,Someone else,Never married,0,36,19,14,13,Not applicable,$60000 to 74999
664,Middle atlantic,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,80.9,Average,White,Female,Not applicable,Someone else,Married,1,79,16,8,8,18,$25000 to 29999
665,Middle atlantic,Christian,Full-time,Not applicable,15210,Not hispanic,White,Ballot a,51.7,Below average,White,Female,40,Someone else,Married,3,61,12,12,11,12,$110000 to $129999
666,Middle atlantic,None,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,42.2,Average,White,Male,38,Someone else,Married,2,40,13,15,12,15,$60000 to 74999
667,Middle atlantic,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,14.6,Average,White,Female,Not applicable,Someone else,Never married,2,27,12,12,12,Not applicable,$60000 to 74999
668,Middle atlantic,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,57.1,Below average,White,Female,Not applicable,Someone else,Married,1,57,12,Not applicable,11,12,$50000 to 59999
669,Middle atlantic,Protestant,Part-time,Heterosexual or straight,15210,Not hispanic,Black,Ballot c,39.9,Below average,Black,Male,55,Someone else,Never married,0,27,12,12,12,Not applicable,$30000 to 34999
670,Middle atlantic,Inter-nondenominational,Part-time,Heterosexual or straight,8775,Not hispanic,White,Ballot b,14,Above average,White,Female,34,Someone else,Divorced,3,66,16,16,12,Not applicable,$17500 to 19999
671,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot a,13.6,Average,Black,Female,Not applicable,Someone else,Married,4,74,12,Don't know,12,10,$12500 to 14999
672,Middle atlantic,None,Full-time,Not applicable,21060,Not hispanic,White,Ballot a,33.4,Above average,White,Female,43,Someone else,Divorced,3,57,12,12,12,Not applicable,$40000 to 49999
673,Middle atlantic,Jewish,Part-time,Bisexual,7605,Not hispanic,White,Ballot c,12.6,Below average,White,Female,22,Someone else,Never married,1,27,14,Not applicable,18,Not applicable,$30000 to 34999
674,Middle atlantic,Protestant,Part-time,Heterosexual or straight,6435,Puerto rican,White,Ballot b,13.6,Above average,Other,Female,Not applicable,Someone else,Married,2,28,12,12,12,12,$25000 to 29999
675,Middle atlantic,Catholic,Full-time,Not applicable,936,Puerto rican,White,Ballot a,63.7,Far below average,Other,Female,40,Someone else,Never married,1,33,11,Don't know,7,Not applicable,$35000 to 39999
676,Middle atlantic,Hinduism,Full-time,Heterosexual or straight,46800,Not hispanic,"Asiatic, oriental",Ballot c,67.7,Average,Other,Male,50,Someone else,Married,1,39,18,12,15,15,$130000 to $149999
677,Middle atlantic,None,Full-time,Heterosexual or straight,11115,Not hispanic,White,Ballot b,71.7,Far above average,White,Male,42,Someone else,Never married,0,27,16,12,18,Not applicable,$22500 to 24999
678,Middle atlantic,Hinduism,Full-time,Not applicable,2574,Not hispanic,"Asiatic, oriental",Ballot a,80.7,Don't know,Other,Male,40,Someone else,Never married,0,34,18,15,12,Not applicable,$5 000 to 5 999
679,Middle atlantic,Catholic,Full-time,Heterosexual or straight,38610,Puerto rican,"Other, mixed",Ballot c,65.3,Below average,White,Male,70,Someone else,Never married,3,28,15,Not applicable,12,Not applicable,$75000 to $89999
680,Middle atlantic,None,Full-time,Heterosexual or straight,31590,Not hispanic,Black,Ballot b,54.6,Far below average,Black,Male,35,Someone else,Never married,0,50,16,Not applicable,14,Not applicable,$60000 to 74999
681,Middle atlantic,Protestant,Full-time,Heterosexual or straight,21060,Not hispanic,Black,Ballot c,51.8,Far below average,Black,Male,40,Someone else,Married,4,30,14,14,18,14,$75000 to $89999
682,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,31.6,Average,White,Female,Not applicable,Someone else,Divorced,1,68,12,Don't know,Don't know,Not applicable,$35000 to 39999
683,Middle atlantic,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,26.5,Far above average,White,Female,Not applicable,Someone else,Married,2,70,3,5,5,5,Refused
684,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot a,32,Below average,Black,Male,Not applicable,Someone else,Divorced,3,55,10,3,9,Not applicable,$8 000 to 9 999
685,W. sou. central,Protestant,Full-time,Not applicable,31590,Not hispanic,Black,Ballot a,31.3,Average,Black,Male,Not applicable,Someone else,Divorced,3,59,12,12,12,Not applicable,$110000 to $129999
686,W. sou. central,Protestant,Not applicable,Heterosexual or straight,11115,Not hispanic,Black,Ballot c,35.8,Far below average,Black,Female,40,Someone else,Separated,3,60,13,Not applicable,Don't know,Not applicable,$30000 to 34999
