county,district,grspan,enrltot,teachers,calwpct,mealpct,computer,compstu,expnstu,str,avginc,elpct,testscr
Tulare,Rockford  Elementary,KK-08,324,15.39999962,13.0031004,58.20429993,50,0.154320985,4276.115234,21.03896141,9.630000114,2.469135761,651.45
Glenn,Plaza Elementary,KK-08,140,6.75,7.85710001,45.71429825,25,0.178571433,4566.27002,20.74073982,10.63899994,10.71428585,651.80
Sonoma,Monte Rio Union Elementary,KK-08,181,10,25.4144001,66.85079956,26,0.143646404,6049.495117,18.10000038,14.47500038,0,651.85
Lassen,Janesville Union Elementary,KK-08,516,26,9.259300232,24.81480026,65,0.125968993,4974.28125,19.84615326,13.46700001,1.937984467,651.90
Imperial,Magnolia Union Elementary,KK-08,108,5,3.669699907,32.11009979,25,0.231481478,4432.478027,21.60000038,9.664999962,4.629629612,652.00
Lassen,Shaffer Union Elementary,KK-08,419,18.67000008,13.95349979,50,58,0.138424814,4924.619141,22.44242096,12.70800018,5.250596523,652.10
Orange,Fullerton Elementary,KK-08,12567,546.0499878,7.623099804,40.3995018,1099,0.087451264,4603.659668,23.01437569,17.82299995,27.54038239,652.10
Sonoma,Cinnabar Elementary,KK-06,287,16.17000008,3.793100119,31.03450012,65,0.226480842,5973.925293,17.74891853,17.15600014,14.98257828,652.30
Santa Barbara,Santa Barbara Elementary,KK-08,6201,339.1000061,7.179599762,47.70249939,634,0.102241576,5215.943848,18.28664017,19.58963585,47.87937546,652.30
Humboldt,Rohnerville Elementary,KK-08,577,29.95000076,20.33609962,46.05039978,134,0.2322357,4882.236816,19.26544189,14.19699955,0,652.35
Sutter,Pleasant Grove Joint Union Elementary,KK-08,170,7.5,10.58819962,32.35290146,41,0.241176471,4145.835938,22.66666603,11.9119997,1.764706016,652.40
Shasta,Mountain Union Elementary,KK-08,164,8.5,33.53659821,65.85369873,36,0.219512194,7542.038086,19.29411697,13.38599968,0,652.40
Kern,South Fork Union Elementary,KK-08,382,22,29.23830032,59.21379852,75,0.196335077,5247.018066,17.36363602,11.5539999,0,652.50
San Diego,Jamul-Dulzura Union Elementary,KK-08,1221,61.59999847,4.34070015,25.3071003,250,0.20475021,5169.814941,19.8214283,19.02599907,7.289107323,652.85
Santa Cruz,Live Oak Elementary,KK-08,2214,108.3499985,12.8725996,36.44990158,213,0.096205965,5951.005859,20.43377876,16.40699959,17.02800369,653.10
Riverside,Menifee Union Elementary,KK-08,4523,215,5.751900196,29.19869995,409,0.090426706,4746.572266,21.03720856,14.05799961,10.43555164,653.40
Kern,Lakeside Union Elementary,KK-08,793,39.79999924,4.413599968,30.76919937,49,0.061790667,4944.092285,19.92462349,19.06800079,2.269861221,653.50
Santa Clara,Whisman Elementary,KK-08,1678,88.26999664,5.482699871,38.20019913,254,0.151370674,6306.487305,19.00985718,20.77000046,28.24791336,653.55
Imperial,McCabe Union Elementary,KK-08,536,22.5,5.597000122,28.17160034,35,0.065298505,4260.306641,23.82222176,10.26399994,8.768656731,653.55
San Joaquin,Lammersville Elementary,KK-08,307,15.85000038,5.537499905,28.66449928,36,0.117263846,4718.163086,19.36908531,14.57800007,7.491856575,653.70
Tehama,Lassen View Union Elementary,KK-08,347,17.5,18.44379997,53.60229874,56,0.161383286,4751.299805,19.82857132,10.20199966,9.798271179,653.80
Humboldt,Loleta Union Elementary,KK-08,168,11.01000023,29.16670036,63.69049835,30,0.178571433,5653.453613,15.25885487,12.50199986,12.5,653.85
Shasta,Junction Elementary,KK-08,532,31,10.50660038,29.64349937,81,0.152255639,5920.253418,17.16129112,13.90600014,0,653.95
Los Angeles,Rosemead Elementary,KK-08,3272,150,24.02199936,76.77259827,374,0.114303179,4825.59082,21.81333351,9.986000061,31.20415497,654.10
Nevada,Grass Valley Elementary,KK-08,2045,107.2099991,12.12709999,40.92910004,268,0.131051347,5532.582031,19.07471275,13.71199989,1.369193196,654.20
Tulare,Buena Vista Elementary,KK-08,156,6.050000191,10.42940044,47.85279846,7,0.044871796,3926.06958,25.78512383,10.09799957,9.615385056,654.20
Kern,Kernville Union Elementary,KK-08,1129,61.99000168,34.1894989,62.26750183,164,0.145261288,5805.636719,18.21261406,11.29100037,0,654.30
Sacramento,Galt Joint Union Elementary,KK-08,3669,201.9700012,11.35890007,41.05459976,500,0.136276916,4899.239746,18.16606331,13.22500038,24.25728989,654.60
San Benito,Southside Elementary,KK-08,157,9.25,1.898699999,10.12660027,19,0.12101911,4884.862305,16.97297287,13.63000011,9.554140091,654.85
San Diego,Lakeside Union Elementary,KK-08,4928,229.1999969,8.541999817,25.88850021,618,0.125405848,5139.9375,21.50087357,14.62300014,5.92532444,654.85
Sutter,Nuestro Elementary,KK-08,103,5,5.825200081,23.3010006,13,0.126213595,5249.364746,20.60000038,8.776000023,0.970873773,654.90
Fresno,Alvina Elementary,KK-08,175,10.30000019,14.85709953,70.28569794,17,0.09714286,5399.070313,16.9902916,10.3380003,18.2857132,655.05
Contra Costa,Oakley Union Elementary,KK-08,4153,199.8600006,7.526899815,23.4409008,241,0.058030341,4965.290039,20.77954483,16.32299995,4.984348774,655.05
Siskiyou,Etna Union Elementary,KK-06,280,18.04999924,8.695699692,56.52170181,67,0.239285707,6210.323242,15.51246643,10.65633297,4.285714626,655.05
San Joaquin,Jefferson Elementary,KK-08,865,43.5,3.084199905,12.57409954,96,0.110982656,4797.503418,19.88505745,14.57800007,3.352601051,655.20
Santa Clara,Berryessa Union Elementary,KK-08,8735,408.2000122,7.496600151,21.34339905,1120,0.128219798,5397.161621,21.39882278,18.63059998,32.70749664,655.30
Kings,Kit Carson Union Elementary,KK-08,412,20.10000038,8.73789978,60.92229843,72,0.174757287,5078.5,20.49751282,11.11600018,9.46601963,655.35
Stanislaus,Sylvan Union Elementary,KK-08,6373,329.1199951,12.67850018,36.88999939,624,0.097913072,4733.746582,19.36375809,14.59766674,6.260787487,655.35
San Joaquin,Oak View Union Elementary,KK-08,332,18.79999924,9.036100388,34.03609848,73,0.219879523,4963.060059,17.65957451,15.49300003,13.25301266,655.40
Placer,Auburn Union Elementary,KK-08,2903,138.1199951,11.12639999,34.44710159,192,0.066138476,5431.177246,21.01795578,16.27199936,3.169135332,655.55
San Benito,North County Joint Union Elementary,KK-08,565,29.64999962,6.725699902,36.6371994,60,0.10619469,5382.088867,19.0556488,13.63000011,16.9911499,655.70
El Dorado,Pioneer Union Elementary,KK-08,586,26,7.508500099,37.88399887,78,0.1331058,5724.441895,22.53846169,12.39400005,0.853242338,655.80
San Bernardino,Central Elementary,KK-08,5068,240.1000061,7.063899994,34.2344017,626,0.123520128,4843.427246,21.10787201,15.33100033,6.649565697,655.85
Shasta,Pacheco Union Elementary,KK-08,859,42.84000015,16.4144001,40.1629982,118,0.137369037,5730.349121,20.05135345,12.66600037,0.116414435,656.40
Nevada,Chicago Park Elementary,KK-08,145,10.21000004,8.275899887,20,20,0.137931034,5635.786133,14.20176315,13.71199989,0,656.50
San Mateo,Brisbane Elementary,KK-08,649,35.125,3.852099895,19.5685997,155,0.238828972,5671.657227,18.47686768,17.78033447,6.933744431,656.55
Kings,Central Union Elementary,KK-08,1789,96,2.962500095,56.00889969,435,0.243152604,7070.633301,18.63541603,10.55666733,9.558412552,656.65
Shasta,Happy Valley Union Elementary,KK-08,775,37,24.90320015,61.41939926,50,0.064516127,5097.343262,20.94594574,10.52299976,0.90322578,656.70
Calaveras,Mark Twain Union Elementary,KK-08,777,36.84999847,12.98869991,39.84870148,148,0.190476194,5482.677246,21.08548164,13.24300003,1.158301115,656.80
Marin,San Rafael City Elementary,KK-08,3518,188.1999969,9.770799637,49.42689896,419,0.119101763,5642.832031,18.69288063,22.47299957,40.10801697,656.80
San Diego,Cajon Valley Union Elementary,KK-08,19294,924.5700073,18.93190002,50.97079849,2401,0.124442831,5280.023438,20.86807823,15.68465424,16.66321182,657.00
Santa Clara,Campbell Union Elementary,KK-08,7661,386.4200134,7.805799961,32.13679886,1158,0.151155204,5433.339844,19.82557678,23.48374939,21.95535851,657.00
Sutter,Browns Elementary,KK-08,158,8,6.329100132,25.31649971,34,0.215189874,4529.283691,19.75,11.64900017,8.860759735,657.15
Nevada,Clear Creek Elementary,KK-08,117,6,8.403400421,36.1344986,42,0.358974367,6039.98584,19.5,16.3560009,0.854700923,657.40
Humboldt,Trinidad Union Elementary,KK-08,160,8.699999809,16.09199905,36.78160095,37,0.231250003,6168.229492,18.39080429,14.07400036,0,657.50
Sonoma,Guerneville Elementary,KK-08,511,27.20000076,27.48539925,51.85189819,30,0.058708414,5774.970215,18.78676414,13.43700027,3.913894176,657.55
San Mateo,San Bruno Park Elementary,KK-08,2770,140.1100006,3.610100031,25.55960083,296,0.106859207,4806.761719,19.77017975,18.33799934,11.94945908,657.65
Tehama,Antelope Elementary,KK-08,551,28.5,15.2343998,51.5625,46,0.083484575,4840.936035,19.33333397,11.42599964,3.992740393,657.75
Orange,Centralia Elementary,KK-06,5205,242.5,8.318900108,37.29109955,474,0.091066286,4954.466309,21.46391678,15.74991703,22.93948174,657.80
San Bernardino,Etiwanda Elementary,KK-08,6437,278.8399963,2.516700029,17.1508007,622,0.096628867,4023.531738,23.08492279,15.77900028,2.485630035,657.90
Los Angeles,Wiseburn Elementary,KK-08,1712,81.27999878,5.373799801,32.65190125,122,0.071261682,5179.411133,21.0629921,14.06200027,9.871495247,658.00
Humboldt,Scotia Union Elementary,KK-08,370,19.79999924,6.504099846,36.31439972,56,0.151351348,4385.229492,18.68686867,12.17399979,0.540540576,658.35
San Bernardino,Mountain View Elementary,KK-08,3182,153.1999969,3.530499935,26.94330025,328,0.103079826,4777.512695,20.77023506,12.89999962,8.95663166,658.60
San Luis Obispo,Pleasant Valley Joint Union Elementary,KK-06,139,7.199999809,0.719399989,29.49640083,32,0.230215833,4862.790527,19.30555534,10.97099972,6.47481966,658.80
Santa Clara,Oak Grove Elementary,KK-08,11855,588.8400269,9.015800476,32.76549911,1507,0.127119362,5486.029785,20.13280296,17.43519974,20.72543144,659.05
El Dorado,Pollock Pines Elementary,KK-08,1068,51.66999817,12.82769966,36.79779816,129,0.120786518,5486.382324,20.66963577,14.76000023,0.187265918,659.15
Los Angeles,Castaic Union Elementary,KK-08,2295,103,4.039500237,31.3708992,224,0.097603485,4631.243652,22.28155327,14.60299969,13.98692894,659.35
Inyo,Bishop Union Elementary,KK-08,1510,73.30000305,10.25979996,37.10860062,141,0.093377486,5189.62793,20.60027122,13.52233315,8.741721153,659.40
Santa Barbara,Buellton Union Elementary,KK-08,579,27.79999924,1.5,31.5,60,0.103626944,4600.606445,20.82733917,16.66900063,20.03454208,659.40
Madera,Chawanakee Jt. Elementary,KK-08,1012,52.63999939,10.4847002,33.63010025,140,0.138339922,6735.775391,19.22492409,13.52225018,1.383399248,659.80
Siskiyou,Yreka Union Elementary,KK-08,1212,68.65000153,18.29719925,47.12469864,107,0.088283829,5475.172852,17.6547699,12.51799965,2.062706232,659.90
Sonoma,Alexander Valley Union Elementary,KK-06,119,7,4,33.59999847,23,0.193277314,5990.794434,17,18.32600021,28.57143021,660.05
Nevada,Twin Ridges Elementary,KK-08,590,35.76250076,7.796599865,30.6779995,78,0.132203385,7203.246582,16.49772835,11.4659996,0.169491529,660.10
Tulare,Sundale Union Elementary,KK-08,546,27.60000038,13.91940022,54.76190186,60,0.109890111,4777.769043,19.78260803,10.09799957,13.73626423,660.20
Tulare,Three Rivers Union Elementary,KK-08,248,11.11999989,7.46269989,21.26869965,51,0.205645159,4302.834961,22.30215836,15.36499977,0,660.30
Tuolumne,Columbia Union Elementary,KK-08,461,26,14.4708004,48.81209946,150,0.32537961,5630.194824,17.73077011,10.3113327,0.21691975,660.75
Los Angeles,Westside Union Elementary,KK-08,6312,308.6799927,9.837900162,22.69300079,496,0.078580484,4708.625,20.44836044,16.98662567,3.121039391,660.95
Merced,Ballico-Cressey Elementary,KK-08,285,13.98999977,7.241399765,66.20690155,62,0.217543855,5629.961426,20.37169456,9.612000465,47.36842346,661.35
San Mateo,Millbrae Elementary,KK-08,2325,115.3000031,2.881700039,15.6559,302,0.129892468,4890.986816,20.16478729,21.11050034,22.70967865,661.45
Santa Clara,Evergreen Elementary,KK-08,11885,549.8400269,10.19769955,30.44169998,1790,0.150610015,4929.393066,21.61537743,16.47331238,29.12074089,661.60
Sonoma,Harmony Union Elementary,KK-08,564,27.43000031,6.89659977,21.37929916,46,0.081560284,4905.221191,20.56142807,18.36899948,4.43262434,661.60
Kern,Panama Buena Vista Union Elementary,KK-08,12380,620.3800049,12.29520035,31.01889992,1671,0.134975761,5156.856934,19.95551109,16.65411186,4.814216614,661.85
San Mateo,Laguna Salada Union Elementary,KK-08,3772,178.0599976,3.371999979,18.38780022,529,0.140243903,4941.787598,21.18387032,18.54422188,5.249204636,661.85
Tuolumne,Sonora Elementary,KK-08,895,47.58000183,17.55319977,42.44680023,70,0.078212291,5408.781738,18.8104229,14.18000031,1.899441361,661.85
Placer,Roseville City Elementary,KK-08,5714,277.6700134,10.53429985,30.06909943,489,0.085579276,4981.387695,20.57838249,18.02955437,8.66293335,661.90
Stanislaus,Gratton Elementary,KK-08,105,5.730000019,0,0,16,0.152380958,4877.086426,18.32460785,13.58600044,10.47619057,661.90
Lassen,Susanville Elementary,KK-08,1449,76.98999786,16.5279007,42.60089874,125,0.086266391,5111.739258,18.82062721,12.64000034,1.242236018,66195
Shasta,Bella Vista Elementary,KK-08,510,24.5,20.39220047,45.88240051,95,0.186274514,5201.515625,20.81632614,11.10299969,0,662.40
Tulare,Columbine Elementary,KK-08,160,8,11.25,56.875,39,0.243750006,4138.305664,20,7.5,9.375,662.40
Los Angeles,Hughes-Elizabeth Lakes Union Elementary,KK-08,433,22,9.336099625,25.10370064,50,0.115473442,5743.597168,19.68181801,15.50599957,1.385681391,662.45
Santa Clara,Mountain View Elementary,KK-08,3186,164.3099976,5.45389986,44.39070129,411,0.129001886,5702.705078,19.39017677,22.84140015,35.34212112,662.50
Los Angeles,Sulphur Springs Union Elementary,KK-06,5010,239.3999939,5.298900127,27.35449982,576,0.114970058,4802.152832,20.92731857,19.82312584,9.64071846,662.55
Sonoma,Forestville Union Elementary,KK-08,717,35.95000076,8.888899803,24.72220039,100,0.139470011,5442.143066,19.94436646,16.34700012,2.231520176,662.55
Kern,Rosedale Union Elementary,KK-08,3548,170.6499939,3.25999999,14.8508997,335,0.09441939,4522.375488,20.79109383,16.29299927,0.36640361,662.65
Shasta,Columbia Elementary,KK-08,868,45.20000076,16.58989906,29.83869934,78,0.089861751,4965.808105,19.20353889,13.24800014,0.57603687,662.70
Placer,Colfax Elementary,KK-08,507,26.64999962,13.20390034,37.08739853,60,0.118343197,5358.326172,19.02439117,14.01000023,0,662.75
Siskiyou,Mt. Shasta Union Elementary,KK-08,822,46.65000153,8.073800087,25.60549927,105,0.127737224,5784.625,17.62057877,14.16300011,0.851581514,662.90
Sonoma,Piner-Olivet Union Elementary,KK-06,1792,88.55000305,3.125,20.92630005,143,0.079799108,5072.70459,20.23715401,15.77099991,5.524553776,663.35
Madera,Bass Lake Joint Elementary,KK-08,1202,62.29999924,12.07689953,35.84619904,190,0.158069879,5556.041016,19.29373932,14.48333263,0,663.45
Humboldt,Cutten Elementary,KK-06,515,27.35000038,16.11650085,26.21360016,58,0.11262136,5190.310059,18.82998085,14.20899963,0,663.50
El Dorado,Placerville Union Elementary,KK-08,1354,66.56999969,12.0383997,36.48450089,263,0.194239289,5211.485352,20.3394928,15.16699982,2.437223196,663.85
Sonoma,Wright Elementary,KK-06,1252,65.11000061,9.451199532,43.21649933,113,0.090255588,5284.164063,19.22899628,12.58425045,20.76677322,663.85
Tehama,Evergreen Union Elementary,KK-08,823,46,13.85179996,55.28549957,127,0.15431349,5331.920898,17.89130402,10.55099964,2.187120438,663.90
Sonoma,Old Adobe Union Elementary,KK-06,2231,114.3000031,2.916100025,13.36919975,258,0.115643211,5599.60791,19.51881027,16.95599937,13.62617588,664.00
Sonoma,Wilmar Union Elementary,KK-06,271,14.19999981,4.467400074,25.42959976,81,0.298892975,4881.899414,19.08450699,17.70899963,13.28413296,664.00
Placer,Ackerman Elementary,KK-08,309,15.5,4.207099915,32.68610001,85,0.275080919,4700.432129,19.93548393,16.27199936,1.941747546,664.15
Santa Cruz,Santa Cruz City Elementary,KK-06,3005,159.2200012,8.619000435,33.81029892,308,0.102495842,5650,18.87325668,17.9008007,23.0615654,664.15
Humboldt,Arcata Elementary,KK-08,966,47.95999908,20.95809937,47.30540085,114,0.118012421,5318.240723,20.14178467,11.83399963,0.621118009,664.30
San Bernardino,Alta Loma Elementary,KK-08,7710,327.2999878,4.472199917,15.92990017,814,0.105577171,4709.054199,23.55637169,18.6201992,3.255512238,664.40
Placer,Foresthill Union Elementary,KK-08,762,35.5,10.8107996,30.37319946,54,0.070866145,5143.19043,21.46478844,12.43099976,0,664.45
El Dorado,Mother Lode Union Elementary,KK-08,1708,89,8.489500046,29.03980064,206,0.120608896,5133.009766,19.19101143,15.16699982,2.224824429,664.70
Orange,Ocean View Elementary,KK-08,9850,489.2999878,3.335000038,30.64369965,1113,0.112994924,5081.455566,20.13080025,20.87574959,18.55837631,664.75
Glenn,Lake Elementary,KK-08,129,5,9.302300453,50.38759995,10,0.07751938,4016.41626,25.79999924,10.63899994,6.201550484,664.95
San Mateo,San Mateo-Foster City Elementary,KK-08,10619,565.5100098,2.538399935,28.37660027,1150,0.108296447,5374.050293,18.77774048,25.02961922,18.45748138,664.95
Santa Barbara,Goleta Union Elementary,KK-06,4521,236.5800018,3.705199957,31.08279991,494,0.109267861,5427.548828,19.1098156,16.75780106,32.07255173,665.10
San Bernardino,Helendale Elementary,KK-08,580,29.44000053,11.89659977,30.17239952,114,0.196551725,5179.644531,19.70108604,15.29699993,3.965517044,66520
Sonoma,Petaluma City Elementary,KK-06,2569,138,5.486400127,24.74710083,326,0.126897618,5400,18.615942,17.3694458,15.33670712,665.35
Santa Clara,Sunnyvale Elementary,KK-08,6022,286.7999878,6.394999981,36.0007019,756,0.12553969,5726.146484,20.99721146,22.09600067,27.66522789,665.65
Santa Barbara,College Elementary,KK-08,670,33.5,0.416099995,13.8696003,47,0.07014925,5003.870117,20,22.84199905,12.53731441,665.90
San Diego,La Mesa-Spring Valley,KK-08,14708,700.9400024,13.53009987,45.72340012,1962,0.133396789,4969.51123,20.98325157,18.31987572,12.68017483,665.95
Orange,Huntington Beach City Elementary,KK-08,6601,305,1.196799994,15.08860016,706,0.106953494,4747.295898,21.6426239,25.03000069,6.908044338,666.00
Santa Barbara,Solvang Elementary,KK-08,675,33.70000076,0,31.8519001,87,0.12888889,4543.305176,20.02967262,21.95700073,14.96296215,666.05
Santa Cruz,Soquel Elementary,KK-08,2458,124.0699997,6.018700123,24.60350037,193,0.078519121,5229.591309,19.81139755,18.79683304,11.26932526,666.10
Glenn,Capay Joint Union Elementary,KK-08,144,8,4.166699886,44.44440079,14,0.097222224,4507.353027,18,10.63899994,9.722222328,666.15
Sonoma,Gravenstein Union Elementary,KK-08,573,29.60000038,6.993000031,15.20979977,48,0.083769634,5302.62793,19.35810852,17.50799942,3.315881252,666.15
Nevada,Pleasant Valley Elementary,KK-08,721,35.72999954,1.849400043,18.49410057,82,0.11373093,5545.610352,20.17912102,18.59300041,0.693481266,666.45
Kings,Pioneer Union Elementary,KK-08,992,46.97000122,3.729799986,22.88310051,160,0.161290318,4615.908691,21.11986351,11.11600018,5.141129017,666.55
San Diego,Santee Elementary,KK-08,8432,360.5,6.392300129,22.98390007,0,0,5397.689453,23.38973618,14.09766674,4.969165325,666.60
Lassen,Johnstonville Elementary,KK-08,244,11,15.57380009,40.16389847,15,0.061475411,5118.373047,22.18181801,12.64000034,6.967213154,666.65
Ventura,Pleasant Valley Elementary,KK-08,7116,356.8200073,2.598999977,13.27620029,785,0.110314786,5008.070801,19.94282722,20.93642807,7.99606514,666.65
Tuolumne,Curtis Creek Elementary,KK-08,830,46.65999985,10.41189957,32.6086998,95,0.114457831,4906.030273,17.78825569,14.18000031,0.481927723,666.70
Siskiyou,Fort Jones Union Elementary,KK-06,160,10.88000011,13.37580013,53.50320053,38,0.237499997,6870.346191,14.70588207,11.82600021,2.5,666.85
Sonoma,Mark West Union Elementary,KK-06,1588,83.40000153,6.798500061,20.58099937,220,0.138539046,5301.716309,19.04076767,18.67099953,3.841310024,666.85
San Diego,Alpine Union Elementary,KK-08,2272,108.75,4.049300194,16.06509972,307,0.135123238,5182.365723,20.89195442,17.33200073,1.32042253,667.15
Sonoma,Sebastopol Union Elementary,KK-08,1425,71.83000183,5.092599869,19.8302002,65,0.045614034,4999.46875,19.8385067,17.50799942,4.91228056,667.20
Humboldt,Freshwater Elementary,KK-06,245,12.55000019,8.979599953,13.06120014,30,0.122448981,6732.066406,19.52191162,15.57199955,0,667.45
Kern,Norris Elementary,KK-08,1349,65.21250153,2.001499891,8.673100471,259,0.191994071,4612.989746,20.68621826,15.56725025,0.222386956,667.45
Tulare,Springville Union Elementary,KK-08,400,22,13.80090046,29.86429977,65,0.162499994,5478.845703,18.18181801,15.75199986,0,667.60
Santa Clara,Moreland Elementary,KK-08,4632,245.1799927,7.037000179,23.6420002,637,0.137521595,5666.713867,18.89224243,20.46999931,17.85405922,668.00
Kern,Maple Elementary,KK-08,224,9,5.35710001,35.26789856,15,0.066964284,4742.51416,24.88888931,9.708999634,4.464285851,668.10
Kings,Kings River-Hardwick Union Elementary,KK-08,576,31,3.993099928,28.125,92,0.159722224,4907.392578,18.58064461,11.11600018,9.548611641,668.40
San Diego,Julian Union Elementary,KK-08,451,25,8.647500038,11.7517004,75,0.166297123,5700.402344,18.04000092,16.32099915,3.991130829,668.60
San Diego,Cardiff Elementary,KK-06,900,50.75,2.101799965,24.3362999,145,0.161111116,5191.834473,17.73398972,21.96699905,20.66666603,668.65
Tulare,Saucelito Elementary,KK-08,118,5.5,8.333299637,51.66669846,10,0.084745765,4451.256836,21.45454597,8.934000015,7.627118587,668.80
San Diego,Bonsall Union Elementary,KK-08,1457,73.12999725,5.982299805,42.9640007,0,0,5627.527832,19.92342567,19.99699974,27.45367241,668.90
Orange,Cypress Elementary,KK-06,4734,232.75,2.607800007,19.37249947,586,0.123785384,4922.939941,20.33942032,18.82723045,10.85762596,668.95
Los Angeles,Lowell Joint Elementary,KK-08,3303,146.5,4.662399769,16.95429993,379,0.114744172,4969.380859,22.54607582,18.1186657,5.025733948,669.10
Los Angeles,Newhall Elementary,KK-06,6055,286.9200134,5.613399982,30.08510017,540,0.089182496,4829.717285,21.10344315,23.66737556,14.23616886,669.30
Marin,Lagunitas Elementary,KK-08,424,23.29999924,3.537699938,15.3302002,39,0.091981135,6716.692871,18.19742584,22.13899994,0.235849053,669.30
Santa Clara,Cambrian Elementary,KK-08,2801,139.3000031,5.033899784,23.09889984,615,0.219564438,5205.941895,20.10768127,20.54599953,2.070688963,669.35
Tehama,Richfield Elementary,KK-08,187,9.760000229,17.55319977,44.68090057,37,0.197860956,4357.826172,19.15983582,9.484999657,8.556149483,669.35
Humboldt,Fieldbrook Elementary,KK-08,129,6.599999905,13.95349979,27.1317997,17,0.131782949,5195.918945,19.54545403,11.83399963,0,669.80
San Diego,Dehesa Elementary,KK-06,188,9,6.382999897,36.70209885,41,0.21808511,6002.071777,20.88888931,18.79899979,4.787234306,669.85
Shasta,Cottonwood Union Elementary,KK-08,1212,65.90000153,22.19470024,46.12210083,116,0.09570957,5090.587891,18.39150238,10.55099964,3.960396051,669.95
Kern,Fruitvale Elementary,KK-08,2596,135.3500061,3.004600048,19.53000069,249,0.095916793,5112.390137,19.17990303,15.51900005,1.579352856,670.00
Santa Clara,Union Elementary,KK-08,4925,253.8959961,3.821099997,12.17479992,753,0.152893394,5287.35498,19.39770699,21.63172722,3.593908548,670.70
Orange,Fountain Valley Elementary,KK-08,6257,288.6300049,2.163500071,15.51280022,930,0.148633525,4889.47998,21.67827225,21.09575081,8.726226807,671.25
El Dorado,Gold Oak Union Elementary,KK-08,868,45,4.723499775,19.00919914,122,0.140552998,5118.130371,19.28888893,15.16699982,0,671.30
El Dorado,Buckeye Union Elementary,KK-08,3787,186.1000061,3.247999907,8.34430027,934,0.246633217,5119.123047,20.34927368,19.11700058,0.264061272,671.60
Placer,Rocklin Unified,KK-08,6423,306.3800049,2.929899931,14.26599979,855,0.133115366,4792.211426,20.96416092,17.62000084,1.447921515,671.60
El Dorado,Gold Trail Union Elementary,KK-08,678,34.84000015,2.507400036,15.92920017,47,0.069321536,5450.103516,19.46039009,15.16699982,0.147492617,671.65
Humboldt,Hydesville Elementary,KK-08,162,8.399999619,16.95910072,33.91809845,23,0.141975313,5210.724609,19.2857151,10.64299965,0,671.70
Los Angeles,Saugus Union Elementary,KK-06,8529,407.7000122,2.192500114,11.70129967,834,0.097784027,4715.445801,20.91979408,20.73905563,3.705006361,671.75
Placer,Loomis Union Elementary,KK-08,1862,89.08999634,2.829699993,21.08919907,231,0.124060154,4632.068359,20.90021324,21.56599998,0.268528461,671.90
Placer,Placer Hills Union Elementary,KK-08,1452,70.5,2.426000118,10.41419983,183,0.126033053,5028.561523,20.59574509,17.65600014,0,671.90
Sonoma,Dunham Elementary,KK-06,155,8,0.645200014,12.25809956,32,0.20645161,5695.466797,19.375,17.70899963,4.516129017,671.95
San Mateo,San Carlos Elementary,KK-08,2536,127.1100006,2.032799959,2.032799959,343,0.135252371,4504.294922,19.95122337,27.81599998,2.444794893,672.05
Nevada,Ready Springs Union Elementary,KK-08,567,30.07999992,4.895100117,29.02099991,103,0.181657851,5156.437012,18.84973335,18.59300041,0,672.05
Madera,Coarsegold Union Elementary,KK-08,953,52.59999847,7.98759985,33.9211998,135,0.141657919,5433.51416,18.11787033,14.26299953,0,672.30
San Luis Obispo,Cayucos Elementary,KK-08,296,15.43000031,5.592100143,25.98679924,42,0.141891897,5254.631836,19.18340874,22.75799942,5.405405521,672.35
Lassen,Richmond Elementary,KK-08,198,9,2.450999975,12.74510002,24,0.121212125,4593.196777,22,12.64000034,0,672.45
Fresno,Clay Joint Elementary,KK-08,218,10.10000038,2.242199898,25.1121006,49,0.224770635,4320.678711,21.58415794,11.23799992,6.422018051,672.55
Sonoma,Waugh Elementary,KK-06,734,36,2.024300098,12.82050037,117,0.159400538,4920.777344,20.38888931,16.95599937,6.539509296,672.70
Sonoma,Two Rock Union Elementary,KK-06,189,11.60000038,2.07249999,32.12440109,50,0.264550269,6905.869141,16.29310226,17.70899963,14.2857151,673.05
San Mateo,Belmont-Redwood Shores Elementary,KK-08,2528,138.3099976,1.342100024,2.445600033,482,0.19066456,5729.904297,18.27778244,25.62199974,3.678797483,673.25
El Dorado,Rescue Union Elementary,KK-08,2987,154.1699982,2.042200089,11.18179989,290,0.097087376,4825.202148,19.37471581,18.72599983,0.502176106,673.30
Placer,Alta-Dutch Flat Union Elementary,KK-08,208,11,9.389699936,32.86380005,21,0.100961536,5388.17041,18.90909004,13.44299984,0,673.55
San Diego,San Pasqual Union Elementary,KK-08,379,23.10000038,2.902400017,22.16360092,29,0.07651715,5133.827148,16.4069252,15.18000031,22.69129372,673.55
El Dorado,Latrobe Elementary,KK-08,145,9.300000191,6.20690012,0,27,0.186206892,5346.15625,15.59139729,19.11700058,0,673.90
Nevada,Union Hill Elementary,KK-08,706,37.74000168,2.593699932,23.05480003,103,0.145892352,4789.309082,18.7069416,13.71199989,0.141643062,674.25
Sonoma,Twin Hills Union Elementary,KK-08,878,47.90000153,1.375,15.75,105,0.119589977,5329.782227,18.32985306,17.50799942,2.733485222,675.40
Humboldt,Pacific Union Elementary,KK-08,594,33.18000031,12.26889992,25.37820053,75,0.12626262,5371.172852,17.90235138,11.83399963,1.68350172,675.70
