id,region,religion,full.time,sexual.orientation,income,hispanic,race.household,ballot,SES,childhood.income,race,sex,hours.worked.last.week,self.employed,marital.status,num.kids,age,education,education.pa,education.ma,education.spouse,family.income,hispanic.yn
481,New england,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,37.8,Below average,White,Male,NA,Self-employed,Never married,0,48,14,12,15,Not applicable,$8 000 to 9 999,Yes
482,New england,None,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot c,25.4,Below average,White,Male,38,Someone else,Never married,0,27,16,18,18,Not applicable,$40000 to 49999,Yes
483,New england,Protestant,Full-time,Heterosexual or straight,4212,Not hispanic,White,Ballot c,19.6,Average,White,Female,65,Someone else,Never married,0,26,16,16,13,Not applicable,$75000 to $89999,Yes
484,New england,Catholic,Part-time,Not applicable,0,Puerto rican,"Other, mixed",Ballot a,43.8,Below average,Other,Female,40,Someone else,Married,0,31,12,Not applicable,16,12,$30000 to 34999,No
485,New england,Catholic,Full-time,Heterosexual or straight,38610,Not hispanic,White,Ballot b,71.8,Far below average,White,Female,55,Someone else,Married,0,61,14,12,12,18,$130000 to $149999,Yes
486,New england,Catholic,Part-time,Heterosexual or straight,38610,Not hispanic,White,Ballot c,74.6,Far above average,White,Female,NA,Self-employed,Married,3,44,18,16,18,18,$150000 to $169999,Yes
489,New england,None,Full-time,Heterosexual or straight,46800,Not hispanic,White,Ballot c,28.7,Below average,White,Male,89,Self-employed,Married,1,37,12,16,Not applicable,16,$170000 or over,Yes
491,New england,None,Full-time,Heterosexual or straight,15210,Guatemalan,"Other, mixed",Ballot c,68,Average,Other,Male,48,Someone else,Never married,1,29,12,6,6,Not applicable,$40000 to 49999,No
493,New england,Catholic,Full-time,Heterosexual or straight,1638,Puerto rican,"Other, mixed",Ballot b,23.3,Above average,Other,Male,21,Someone else,Never married,1,37,2,8,9,Not applicable,$10000 to 12499,No
494,New england,None,Full-time,Heterosexual or straight,8775,Not hispanic,"Other, mixed",Ballot c,84.5,Below average,Other,Male,NA,Someone else,Never married,0,32,20,15,15,Not applicable,$17500 to 19999,Yes
496,New england,Catholic,Full-time,Not applicable,0,"Mexican, mexican american, chicano/a","Other, mixed",Ballot a,25.2,Far above average,Other,Male,40,Someone else,Divorced,3,50,12,3,Not applicable,Not applicable,$30000 to 34999,No
497,New england,Catholic,Full-time,Not applicable,38610,Not hispanic,"Other, mixed",Ballot a,13.6,Average,White,Male,45,Someone else,Married,0,34,13,4,14,14,$75000 to $89999,Yes
498,New england,None,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,39.7,Average,White,Female,40,Someone else,Divorced,3,42,12,18,12,Not applicable,$60000 to 74999,Yes
499,New england,Catholic,Part-time,Heterosexual or straight,8775,Not hispanic,White,Ballot c,60.3,Average,White,Female,18,Someone else,Married,2,58,12,8,8,16,$90000 to $109999,Yes
500,New england,Catholic,Part-time,Bisexual,4212,Not hispanic,White,Ballot b,20.1,Far below average,White,Female,35,Someone else,Divorced,3,33,12,Not applicable,11,Not applicable,$10000 to 12499,Yes
501,New england,Catholic,Full-time,Not applicable,15210,Not hispanic,White,Ballot a,20.1,Far below average,White,Female,NA,Someone else,Never married,2,58,13,NA,NA,Not applicable,$50000 to 59999,Yes
504,New england,Protestant,Not applicable,Heterosexual or straight,5265,Not hispanic,"Other, mixed",Ballot c,37.6,Above average,Black,Female,NA,Someone else,Never married,0,32,12,13,12,Not applicable,NA,Yes
507,New england,Catholic,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,76.3,Below average,White,Female,45,Someone else,Married,1,54,16,12,12,16,$110000 to $129999,Yes
509,New england,Catholic,Full-time,Not applicable,56160,Not hispanic,White,Ballot a,80.7,Average,White,Female,51,Someone else,Married,1,55,16,12,10,14,$170000 or over,Yes
510,New england,Catholic,Full-time,Heterosexual or straight,38610,Not hispanic,"Other, mixed",Ballot c,62.9,Below average,White,Female,45,Someone else,Divorced,2,42,16,4,4,Not applicable,$110000 to $129999,Yes
511,New england,Catholic,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot b,24.2,Average,White,Female,NA,Someone else,Married,2,65,12,4,12,12,$60000 to 74999,Yes
513,New england,Protestant,Part-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,24.2,Average,White,Female,32,Someone else,Married,2,59,14,12,12,12,$110000 to $129999,Yes
514,New england,Protestant,Full-time,Not applicable,46800,Not hispanic,White,Ballot a,28.4,Above average,White,Male,40,Someone else,Never married,0,32,12,12,20,Not applicable,$90000 to $109999,Yes
515,New england,Catholic,Full-time,"Gay, lesbian, or homosexual",31590,Not hispanic,White,Ballot c,57.5,Average,White,Male,48,Someone else,Never married,0,51,13,12,12,Not applicable,$150000 to $169999,Yes
517,New england,None,Full-time,Not applicable,0,Not hispanic,White,Ballot a,80.7,Below average,White,Female,48,Someone else,Married,0,34,19,Not applicable,14,12,$75000 to $89999,Yes
519,New england,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,20.1,Average,White,Female,NA,Someone else,Married,0,45,17,10,14,18,$60000 to 74999,Yes
520,New england,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,26.8,Below average,White,Female,NA,Someone else,Never married,3,34,10,12,12,Not applicable,$60000 to 74999,Yes
521,New england,Catholic,Full-time,Not applicable,46800,Not hispanic,White,Ballot a,77.4,Average,White,Male,50,Someone else,Married,1,58,13,12,12,12,$90000 to $109999,Yes
522,New england,Catholic,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,24.2,Average,White,Female,45,Someone else,Married,3,47,20,18,18,14,$110000 to $129999,Yes
523,Pacific,Protestant,Full-time,Not applicable,164382.0376,Not hispanic,White,Ballot a,77.4,Below average,White,Male,46,Someone else,Married,2,50,18,Not applicable,18,16,$170000 or over,Yes
524,Pacific,Protestant,Full-time,Not applicable,164382.0376,Not hispanic,"Asiatic, oriental",Ballot a,91.1,Average,Other,Female,70,Someone else,Married,2,33,16,17,16,16,$170000 or over,Yes
526,Pacific,Buddhism,Part-time,Heterosexual or straight,164382.0376,Not hispanic,White,Ballot b,92.8,Far below average,White,Female,23,Self-employed,Divorced,1,45,16,18,16,Not applicable,$170000 or over,Yes
528,Pacific,None,Full-time,Heterosexual or straight,164382.0376,Not hispanic,White,Ballot c,70.5,Above average,White,Male,50,Someone else,Married,0,33,18,20,12,16,$170000 or over,Yes
529,Pacific,None,Part-time,Not applicable,2106,Not hispanic,NA,Ballot a,20.7,Average,Other,Female,10,Someone else,Married,3,51,16,NA,12,14,$110000 to $129999,Yes
530,Pacific,None,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,67.7,Average,White,Female,35,Someone else,Divorced,2,52,16,14,16,Not applicable,$130000 to $149999,Yes
533,Pacific,Jewish,Not applicable,Heterosexual or straight,0,Not hispanic,"Other, mixed",Ballot b,39.7,Above average,White,Female,NA,Someone else,Married,1,62,16,12,12,20,$75000 to $89999,Yes
537,Pacific,Catholic,Full-time,Heterosexual or straight,25740,"Mexican, mexican american, chicano/a",White,Ballot c,27.4,Below average,Black,Male,89,Someone else,Married,3,47,6,6,4,8,$60000 to 74999,No
538,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Central american,White,Ballot c,35.8,Far below average,White,Female,NA,Someone else,Married,5,31,12,Not applicable,12,12,$30000 to 34999,No
540,Pacific,Catholic,Full-time,Heterosexual or straight,12870,"Mexican, mexican american, chicano/a",White,Ballot b,28.7,Far below average,Other,Male,40,Someone else,Never married,0,28,11,NA,8,Not applicable,$25000 to 29999,No
541,Pacific,Catholic,Part-time,"Gay, lesbian, or homosexual",0,Not hispanic,Black,Ballot b,82.5,Far above average,Black,Male,4,Self-employed,Never married,0,47,14,20,12,Not applicable,$20000 to 22499,Yes
542,Pacific,None,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,85.8,Below average,White,Female,48,Someone else,Married,2,58,18,Not applicable,12,12,Refused,Yes
543,Pacific,Catholic,Full-time,Heterosexual or straight,0,Not hispanic,"Other, mixed",Ballot b,69.3,Below average,Black,Male,40,Someone else,Married,3,32,13,13,13,12,$150000 to $169999,Yes
544,Pacific,Other,Full-time,"Gay, lesbian, or homosexual",17550,Not hispanic,White,Ballot b,71.4,Far above average,White,Female,32,Self-employed,Never married,1,47,20,19,18,Not applicable,$40000 to 49999,Yes
545,Pacific,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot c,91.1,Above average,Black,Female,35,Self-employed,Never married,0,27,20,16,20,Not applicable,$20000 to 22499,Yes
546,Pacific,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,63.7,Average,White,Female,NA,Someone else,Widowed,2,57,16,16,12,Not applicable,$12500 to 14999,Yes
547,Pacific,Protestant,Full-time,Bisexual,21060,Not hispanic,Black,Ballot c,64.2,Below average,Black,Female,40,Someone else,Never married,3,32,13,Not applicable,10,Not applicable,$60000 to 74999,Yes
551,Pacific,Catholic,Full-time,Heterosexual or straight,12870,"Mexican, mexican american, chicano/a",White,Ballot b,25.7,Average,Other,Female,30,Someone else,Divorced,3,44,12,6,8,Not applicable,$25000 to 29999,No
552,Pacific,None,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot c,31.2,Below average,White,Male,NA,Someone else,Never married,2,41,7,NA,NA,Not applicable,$1 000 to 2 999,No
554,Pacific,None,Full-time,Heterosexual or straight,2106,Not hispanic,"Other, mixed",Ballot b,85.2,Average,Black,Male,36,Someone else,Never married,0,36,14,14,16,Not applicable,$60000 to 74999,Yes
555,Pacific,Hinduism,Full-time,Heterosexual or straight,65520,Not hispanic,"Asiatic, oriental",Ballot c,87.9,Average,Other,Male,40,Someone else,Never married,0,33,16,15,15,Not applicable,$130000 to $149999,Yes
556,Pacific,Protestant,Full-time,Not applicable,31590,"Mexican, mexican american, chicano/a",White,Ballot a,61.2,Average,Other,Male,53,Someone else,Married,1,48,10,8,14,14,$60000 to 74999,No
557,Pacific,Catholic,Full-time,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot a,38.3,Far below average,Other,Female,40,Someone else,Separated,1,47,12,Not applicable,8,Not applicable,$110000 to $129999,No
559,Pacific,None,Part-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,76.7,Above average,White,Female,30,Someone else,Married,0,60,19,12,14,13,$130000 to $149999,Yes
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,Pacific,Catholic,Not applicable,Heterosexual or straight,0,"Mexican, mexican american, chicano/a",White,Ballot c,-1,Far below average,Other,Female,NA,Not applicable,Married,4,45,6,6,6,3,$7 000 to 7 999,No
564,W. sou. central,Protestant,Full-time,Not applicable,17550,"Mexican, mexican american, chicano/a",White,Ballot c,43,Above average,White,Female,42,Someone else,Never married,4,37,14,Not applicable,14,Not applicable,$35000 to 39999,No
565,W. sou. central,Protestant,Not applicable,Bisexual,0,Not hispanic,White,Ballot c,80.9,Above average,White,Female,NA,Someone else,Married,2,39,17,18,16,18,$60000 to 74999,Yes
566,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,38.8,Average,White,Female,NA,Someone else,Married,6,57,12,12,13,12,$40000 to 49999,Yes
567,W. sou. central,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,White,Ballot c,38.8,Average,Black,Female,40,Someone else,Separated,2,55,15,NA,14,Not applicable,$60000 to 74999,Yes
568,W. sou. central,None,Full-time,Not applicable,9945,Not hispanic,"Other, mixed",Ballot a,18.6,Above average,White,Male,50,Someone else,Divorced,1,28,14,16,Not applicable,Not applicable,$50000 to 59999,Yes
569,W. sou. central,None,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,32,Average,White,Male,50,Someone else,Divorced,0,58,13,12,11,Not applicable,$60000 to 74999,Yes
570,W. sou. central,Protestant,Part-time,Heterosexual or straight,5265,Not hispanic,White,Ballot c,19.6,Average,White,Female,25,Someone else,Married,4,64,9,NA,NA,11,$40000 to 49999,Yes
571,W. sou. central,Protestant,Full-time,Heterosexual or straight,7605,Not hispanic,White,Ballot b,39.7,Below average,White,Male,35,Someone else,Divorced,0,32,16,18,16,Not applicable,$40000 to 49999,Yes
572,W. sou. central,Protestant,Not applicable,Not applicable,12870,Not hispanic,White,Ballot a,42.9,Below average,White,Male,NA,Someone else,Married,1,63,16,16,16,16,$90000 to $109999,Yes
573,W. sou. central,Protestant,Full-time,Not applicable,25740,Not hispanic,Black,Ballot a,76.3,Average,Black,Female,40,Someone else,Divorced,2,47,16,12,16,Not applicable,$75000 to $89999,Yes
574,W. sou. central,Protestant,Full-time,Heterosexual or straight,3042,Not hispanic,Black,Ballot b,32,Above average,Black,Female,50,Self-employed,Separated,3,40,12,12,14,Not applicable,$6 000 to 6 999,Yes
575,W. sou. central,Catholic,Full-time,Heterosexual or straight,0,Not hispanic,Black,Ballot c,42.7,Far above average,White,Male,NA,Someone else,Separated,2,38,14,12,14,Not applicable,$90000 to $109999,Yes
576,W. sou. central,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,41.1,Below average,White,Female,NA,Someone else,Married,2,63,16,Not applicable,8,15,$90000 to $109999,Yes
577,W. sou. central,Inter-nondenominational,Part-time,Not applicable,0,Not hispanic,"Other, mixed",Ballot c,76.3,NA,Other,Female,NA,Someone else,Married,1,49,18,16,16,16,$150000 to $169999,Yes
580,W. sou. central,None,Part-time,Not applicable,25740,Not hispanic,White,Ballot a,25.2,Above average,White,Male,7,Self-employed,Divorced,2,34,16,20,18,Not applicable,$60000 to 74999,Yes
581,W. sou. central,Protestant,Part-time,Not applicable,12870,Not hispanic,White,Ballot c,35.4,Average,White,Male,25,Someone else,Married,0,42,12,11,12,12,$75000 to $89999,Yes
583,W. sou. central,Protestant,Full-time,Not applicable,15210,Not hispanic,Black,Ballot a,27.6,Far below average,Black,Female,24,Someone else,Widowed,3,46,12,Not applicable,12,Not applicable,$35000 to 39999,Yes
584,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot c,58.2,Above average,Black,Male,NA,Someone else,Divorced,6,51,14,12,12,Not applicable,Under $1 000,Yes
586,W. sou. central,Protestant,Not applicable,Not applicable,2574,Not hispanic,White,Ballot c,19.6,Average,White,Female,NA,Self-employed,Never married,0,54,7,12,12,Not applicable,$40000 to 49999,Yes
587,W. sou. central,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot b,28.4,Above average,Black,Male,NA,Self-employed,Never married,1,55,12,12,12,Not applicable,$3 000 to 3 999,Yes
588,W. sou. central,Protestant,Full-time,Not applicable,12870,Not hispanic,Black,Ballot b,28.7,Average,Black,Male,NA,Someone else,Never married,2,58,14,14,7,Not applicable,$35000 to 39999,Yes
589,W. sou. central,Protestant,Full-time,Not applicable,0,Not hispanic,White,Ballot a,-1,Average,White,Male,NA,Someone else,Married,0,53,12,NA,12,12,$75000 to $89999,Yes
590,W. sou. central,Catholic,Full-time,Not applicable,46800,Not hispanic,White,Ballot a,70.5,Above average,White,Male,40,Someone else,Divorced,1,36,17,16,16,Not applicable,$90000 to $109999,Yes
592,W. sou. central,Christian,Part-time,Heterosexual or straight,7605,Not hispanic,White,Ballot c,39.9,Average,White,Female,20,Someone else,Married,3,33,14,Not applicable,16,14,$75000 to $89999,Yes
594,W. sou. central,Protestant,Full-time,Not applicable,56160,Not hispanic,White,Ballot a,59.1,Above average,White,Male,70,Someone else,Never married,0,32,13,12,14,Not applicable,$150000 to $169999,Yes
595,W. sou. central,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,53,Far above average,White,Female,NA,Someone else,Married,2,48,13,16,8,10,$75000 to $89999,Yes
600,W. sou. central,Protestant,Full-time,Heterosexual or straight,74880,Not hispanic,White,Ballot b,71.8,Average,White,Male,45,Someone else,Married,2,53,20,12,20,16,$150000 to $169999,Yes
602,W. sou. central,Protestant,Full-time,Not applicable,936,Not hispanic,White,Ballot b,24.6,Below average,White,Female,40,Self-employed,Never married,1,25,12,Not applicable,14,Not applicable,$60000 to 74999,Yes
603,W. sou. central,Catholic,Full-time,Not applicable,65520,Not hispanic,White,Ballot a,26.5,Below average,White,Male,40,Self-employed,Married,3,52,12,12,12,13,$130000 to $149999,Yes
607,W. sou. central,None,Full-time,Not applicable,11115,Not hispanic,Black,Ballot a,22.1,Average,Black,Female,30,Someone else,Never married,4,31,13,11,8,Not applicable,$50000 to 59999,Yes
609,W. sou. central,Protestant,Full-time,Not applicable,25740,Not hispanic,Black,Ballot a,80.9,Below average,Black,Female,40,Someone else,Married,2,47,20,13,12,13,$170000 or over,Yes
610,W. sou. central,Protestant,Part-time,Not applicable,56160,Not hispanic,Black,Ballot b,57.8,Far below average,Black,Male,20,Self-employed,Never married,0,34,16,12,Not applicable,Not applicable,$110000 to $129999,Yes
611,W. sou. central,Protestant,Not applicable,Not applicable,0,"Mexican, mexican american, chicano/a",White,Ballot a,-1,Below average,White,Female,NA,Not applicable,Married,4,33,12,NA,12,12,NA,No
612,W. sou. central,Protestant,Not applicable,Not applicable,5265,Not hispanic,Black,Ballot a,20.1,Average,Black,Female,26,Someone else,Separated,1,53,11,6,NA,Not applicable,$10000 to 12499,Yes
613,W. sou. central,Protestant,Part-time,Heterosexual or straight,3042,Not hispanic,"Other, mixed",Ballot c,33.3,Below average,Black,Female,27,Someone else,Never married,1,47,12,Not applicable,14,Not applicable,$6 000 to 6 999,Yes
614,W. sou. central,Protestant,Full-time,Heterosexual or straight,38610,Not hispanic,White,Ballot c,45.4,Above average,White,Male,NA,Someone else,Married,1,57,12,12,12,12,$90000 to $109999,Yes
615,W. sou. central,Protestant,Full-time,Not applicable,164382.0376,Not hispanic,White,Ballot c,75.5,Average,White,Female,1,Someone else,Married,0,58,18,18,18,18,$170000 or over,Yes
616,W. sou. central,Protestant,Part-time,Not applicable,0,Not hispanic,White,Ballot a,35.8,Far below average,White,Female,32,Self-employed,Married,3,55,14,Not applicable,14,12,$130000 to $149999,Yes
617,W. sou. central,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot b,37.6,Below average,White,Female,NA,Someone else,Married,1,65,12,Not applicable,9,12,$75000 to $89999,Yes
618,W. sou. central,Protestant,Full-time,Not applicable,46800,Not hispanic,Black,Ballot a,75.5,Average,Black,Female,55,Someone else,Divorced,0,62,20,12,12,Not applicable,$90000 to $109999,Yes
619,W. sou. central,Catholic,Part-time,Heterosexual or straight,6435,"Mexican, mexican american, chicano/a",White,Ballot c,28.6,Below average,White,Female,30,Someone else,Married,1,26,14,8,12,14,$50000 to 59999,No
620,W. sou. central,Catholic,Full-time,Heterosexual or straight,25740,"Mexican, mexican american, chicano/a",White,Ballot b,66.1,Far below average,White,Female,NA,Someone else,Married,1,31,16,Not applicable,7,12,$90000 to $109999,No
621,W. sou. central,Protestant,Part-time,Heterosexual or straight,0,Central american,White,Ballot b,69.3,NA,Other,Male,NA,Someone else,Married,NA,44,12,12,12,12,Refused,No
624,W. sou. central,Protestant,Full-time,Not applicable,11115,Not hispanic,Black,Ballot c,43.9,Below average,Black,Female,40,Someone else,Widowed,2,57,12,NA,NA,Not applicable,$30000 to 34999,Yes
625,South atlantic,Protestant,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,79.9,Average,White,Female,24,Someone else,Married,1,57,16,8,8,12,$60000 to 74999,Yes
626,South atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,61.4,Average,White,Female,NA,Someone else,Married,1,48,16,18,16,14,$110000 to $129999,Yes
627,South atlantic,Catholic,Part-time,Not applicable,3510,Not hispanic,White,Ballot a,20.1,Average,White,Female,26,Self-employed,Married,3,58,16,13,10,12,$130000 to $149999,Yes
628,Middle atlantic,Catholic,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,45,Average,White,Female,15,Self-employed,Married,4,36,16,16,16,19,$170000 or over,Yes
630,Middle atlantic,Other,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,78.3,Average,White,Male,NA,Self-employed,Married,1,55,16,20,14,12,Refused,Yes
632,Middle atlantic,Protestant,Part-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,41,Below average,White,Female,35,Self-employed,Married,3,54,16,Not applicable,12,14,$150000 to $169999,Yes
633,Middle atlantic,Catholic,Full-time,Heterosexual or straight,164382.0376,Not hispanic,White,Ballot b,68,Above average,White,Male,60,Someone else,Married,2,60,16,16,12,12,$170000 or over,Yes
634,Middle atlantic,Christian,Part-time,Not applicable,25740,Not hispanic,"Asiatic, oriental",Ballot a,38.3,Average,Other,Female,8,Self-employed,Married,2,52,14,12,12,18,$170000 or over,Yes
636,Middle atlantic,Catholic,Full-time,Heterosexual or straight,74880,Not hispanic,White,Ballot b,79.3,Below average,White,Male,40,Self-employed,Married,1,58,16,12,12,13,$170000 or over,Yes
638,Middle atlantic,None,Full-time,Not applicable,38610,Not hispanic,White,Ballot a,88.3,Average,White,Female,45,Someone else,Married,3,49,17,14,12,20,$150000 to $169999,Yes
641,Middle atlantic,None,Part-time,Heterosexual or straight,8775,Not hispanic,White,Ballot c,28.6,Average,White,Female,26,Someone else,Married,3,51,18,16,13,16,$150000 to $169999,Yes
642,Middle atlantic,Catholic,Part-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,60.5,Below average,White,Female,30,Someone else,Married,2,57,16,12,12,17,$130000 to $149999,Yes
643,Middle atlantic,None,Full-time,Not applicable,46800,Not hispanic,White,Ballot a,80.7,Average,White,Male,45,Someone else,Married,1,34,16,Not applicable,12,12,$130000 to $149999,Yes
644,Middle atlantic,Hinduism,Not applicable,Not applicable,0,Not hispanic,"Other, mixed",Ballot a,-1,Below average,Other,Female,NA,Not applicable,Married,2,29,16,12,7,16,NA,Yes
645,Middle atlantic,None,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,38.8,Below average,Other,Female,NA,Someone else,Never married,0,44,9,Not applicable,NA,Not applicable,$7 000 to 7 999,Yes
646,Middle atlantic,Catholic,Not applicable,Heterosexual or straight,0,"Other, not specified",White,Ballot b,37.6,Average,White,Female,NA,Someone else,Never married,0,49,12,12,12,Not applicable,$8 000 to 9 999,No
647,Middle atlantic,Protestant,Full-time,Heterosexual or straight,38610,Not hispanic,"Asiatic, oriental",Ballot b,88,Far below average,Other,Female,40,Someone else,Married,3,52,19,14,14,12,$130000 to $149999,Yes
648,Middle atlantic,Protestant,Full-time,Not applicable,164382.0376,Not hispanic,"Asiatic, oriental",Ballot a,92.8,Average,Other,Male,60,Self-employed,Married,2,54,19,16,14,16,$170000 or over,Yes
649,Middle atlantic,Protestant,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,41.1,Average,White,Female,NA,Someone else,Married,4,48,15,12,12,16,$75000 to $89999,Yes
650,Middle atlantic,Protestant,Full-time,Heterosexual or straight,46800,Not hispanic,White,Ballot b,68.6,Far below average,Other,Female,45,Someone else,Married,1,34,16,16,13,16,$170000 or over,Yes
651,Middle atlantic,Protestant,Part-time,Not applicable,0,Not hispanic,"Other, mixed",Ballot b,21.8,Average,Black,Female,40,Someone else,Married,2,44,16,Not applicable,16,11,Refused,Yes
652,Middle atlantic,None,Part-time,Not applicable,3510,Not hispanic,White,Ballot a,64.5,Above average,White,Male,50,Someone else,Never married,0,33,19,19,14,Not applicable,$7 000 to 7 999,Yes
653,Middle atlantic,None,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,37.6,Above average,White,Female,NA,Someone else,Never married,0,31,13,15,16,Not applicable,NA,Yes
654,Middle atlantic,Protestant,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,92.8,Average,White,Female,40,Someone else,Never married,0,30,20,16,18,Not applicable,$50000 to 59999,Yes
657,Middle atlantic,None,Not applicable,"Gay, lesbian, or homosexual",0,Not hispanic,Black,Ballot c,38.8,Below average,Black,Male,16,Someone else,Never married,0,47,12,Not applicable,13,Not applicable,$8 000 to 9 999,Yes
658,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot c,13.6,Average,Black,Male,NA,Someone else,Never married,3,58,12,Not applicable,NA,Not applicable,$10000 to 12499,Yes
659,Middle atlantic,Jewish,Full-time,Heterosexual or straight,7605,Not hispanic,Black,Ballot b,46,Below average,Black,Male,60,Self-employed,Married,3,52,15,8,12,14,$22500 to 24999,Yes
660,Middle atlantic,Protestant,Full-time,Not applicable,15210,Not hispanic,Black,Ballot a,35.8,Below average,Black,Female,40,Someone else,Separated,3,49,16,Not applicable,16,Not applicable,$90000 to $109999,Yes
663,Middle atlantic,Buddhism,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,80.7,Average,White,Female,20,Someone else,Never married,0,36,19,14,13,Not applicable,$60000 to 74999,Yes
665,Middle atlantic,Christian,Full-time,Not applicable,15210,Not hispanic,White,Ballot a,51.7,Below average,White,Female,40,Someone else,Married,3,61,12,12,11,12,$110000 to $129999,Yes
666,Middle atlantic,None,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,42.2,Average,White,Male,38,Someone else,Married,2,40,13,15,12,15,$60000 to 74999,Yes
667,Middle atlantic,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,14.6,Average,White,Female,NA,Someone else,Never married,2,27,12,12,12,Not applicable,$60000 to 74999,Yes
668,Middle atlantic,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,57.1,Below average,White,Female,NA,Someone else,Married,1,57,12,Not applicable,11,12,$50000 to 59999,Yes
669,Middle atlantic,Protestant,Part-time,Heterosexual or straight,15210,Not hispanic,Black,Ballot c,39.9,Below average,Black,Male,55,Someone else,Never married,0,27,12,12,12,Not applicable,$30000 to 34999,Yes
672,Middle atlantic,None,Full-time,Not applicable,21060,Not hispanic,White,Ballot a,33.4,Above average,White,Female,43,Someone else,Divorced,3,57,12,12,12,Not applicable,$40000 to 49999,Yes
673,Middle atlantic,Jewish,Part-time,Bisexual,7605,Not hispanic,White,Ballot c,12.6,Below average,White,Female,22,Someone else,Never married,1,27,14,Not applicable,18,Not applicable,$30000 to 34999,Yes
674,Middle atlantic,Protestant,Part-time,Heterosexual or straight,6435,Puerto rican,White,Ballot b,13.6,Above average,Other,Female,NA,Someone else,Married,2,28,12,12,12,12,$25000 to 29999,No
675,Middle atlantic,Catholic,Full-time,Not applicable,936,Puerto rican,White,Ballot a,63.7,Far below average,Other,Female,40,Someone else,Never married,1,33,11,NA,7,Not applicable,$35000 to 39999,No
676,Middle atlantic,Hinduism,Full-time,Heterosexual or straight,46800,Not hispanic,"Asiatic, oriental",Ballot c,67.7,Average,Other,Male,50,Someone else,Married,1,39,18,12,15,15,$130000 to $149999,Yes
677,Middle atlantic,None,Full-time,Heterosexual or straight,11115,Not hispanic,White,Ballot b,71.7,Far above average,White,Male,42,Someone else,Never married,0,27,16,12,18,Not applicable,$22500 to 24999,Yes
678,Middle atlantic,Hinduism,Full-time,Not applicable,2574,Not hispanic,"Asiatic, oriental",Ballot a,80.7,NA,Other,Male,40,Someone else,Never married,0,34,18,15,12,Not applicable,$5 000 to 5 999,Yes
679,Middle atlantic,Catholic,Full-time,Heterosexual or straight,38610,Puerto rican,"Other, mixed",Ballot c,65.3,Below average,White,Male,70,Someone else,Never married,3,28,15,Not applicable,12,Not applicable,$75000 to $89999,No
680,Middle atlantic,None,Full-time,Heterosexual or straight,31590,Not hispanic,Black,Ballot b,54.6,Far below average,Black,Male,35,Someone else,Never married,0,50,16,Not applicable,14,Not applicable,$60000 to 74999,Yes
